,Phone_name,Rating,Reviews,Phone_price,Discounted_price,Phone_image
0, Tecno Camon 40 Pro,4.9,41.0,"Rs 69,999","Rs 65,650",https://images.priceoye.pk/tecno-camon-40-pro-pakistan-priceoye-srubz-100x100.webp
1, Samsung Galaxy A17,4.8,47.0,"Rs 59,500","Rs 51,999",https://images.priceoye.pk/samsung-galaxy-a17-pakistan-priceoye-idgtd-100x100.webp
2, Tecno Spark Go 2,4.9,28.0,"Rs 26,999","Rs 24,499",https://images.priceoye.pk/tecno-spark-go-2-pakistan-priceoye-554fi-100x100.webp
3, Samsung Galaxy A56 5G,5.0,68.0,"Rs 137,999","Rs 114,499",https://images.priceoye.pk/samsung-galaxy-a56-pakistan-priceoye-g7u1r-100x100.webp
4, Infinix Hot 60 Pro Plus,5.0,25.0,"Rs 61,999","Rs 58,049",https://images.priceoye.pk/infinix-hot-60-pro-plus-pakistan-priceoye-s0vme-100x100.webp
5, Honor X9d,4.9,7.0,"Rs 109,999","Rs 103,999",https://images.priceoye.pk/honor-x9d-pakistan-priceoye-z8cw7-100x100.webp
6, Realme C85 Pro,5.0,3.0,"Rs 59,999","Rs 52,499",https://images.priceoye.pk/realme-c85-pro-pakistan-priceoye-se8l2-100x100.webp
7, Nothing CMF Phone 2 Pro,5.0,9.0,"Rs 99,900","Rs 91,499",https://images.priceoye.pk/nothing-cmf-phone-2-pro-pakistan-priceoye-q4pfn-100x100.webp
8, Oppo A6,5.0,6.0,"Rs 64,999","Rs 60,999",https://images.priceoye.pk/oppo-a6-pakistan-priceoye-2b09q-100x100.webp
9, Nothing Phone 3A Pro,5.0,3.0,"Rs 179,900","Rs 165,400",https://images.priceoye.pk/nothing-phone-3a-pro-pakistan-priceoye-ozfzb-100x100.webp
10, Vgotel Flex 2,4.9,34.0,"Rs 15,000","Rs 14,299",https://images.priceoye.pk/vgotel-flex-2-pakistan-priceoye-oh646-100x100.webp
11, Apple Iphone 17 Pro Max,5.0,1.0,"Rs 565,000","Rs 529,999",https://images.priceoye.pk/apple-17-pro-max-pakistan-priceoye-5srcg-100x100.webp
12, Xiaomi Poco C75,4.9,182.0,,"Rs 36,999",https://images.priceoye.pk/xiaomi-poco-c75-pakistan-priceoye-aowis-100x100.webp
