cgpa,iq,placement
6.8,123.0,128.66648430518907
5.9,106.0,111.88746634554734
5.3,121.0,109.2276078086631
7.4,132.0,143.28054161680998
5.8,142.0,125.41312882961027
7.1,48.0,93.31650526868759
5.7,143.0,129.50576283431607
5.0,63.0,79.00942382678554
6.1,156.0,136.88409556227532
5.1,66.0,82.1819847701463
6.0,45.0,83.60290808909285
6.9,138.0,142.5844160256299
5.4,139.0,123.5830787859968
6.4,116.0,119.76414910977297
6.1,103.0,113.57811664116157
5.1,176.0,137.80768060038707
5.2,224.0,163.96173900695769
3.3,183.0,126.85000243900058
4.0,100.0,88.50425810141228
5.2,132.0,118.01805050194665
6.6,120.0,124.24378421351932
7.1,151.0,146.18713165923074
4.9,120.0,109.5131409040026
4.7,87.0,88.52244190246076
4.7,121.0,106.82235606794161
5.0,91.0,95.0276319382948
7.0,199.0,168.2246899750314
6.0,124.0,119.62477542722944
5.2,90.0,94.15756554539175
7.0,112.0,125.69300960864611
7.6,128.0,139.46188607956796
3.9,109.0,97.96273357777321
7.0,139.0,134.63046484695792
6.0,149.0,134.7254530096333
4.8,163.0,130.24088907332646
6.8,90.0,115.71926772534519
5.7,140.0,128.00371441356262
8.1,149.0,153.81157259234027
6.5,160.0,145.0000195229432
4.6,146.0,120.08470514429806
4.9,134.0,115.37298360601318
5.4,114.0,112.54202347613882
7.6,89.0,116.76381869087247
6.8,141.0,141.96236933196093
7.5,61.0,108.43535602114683
6.0,66.0,92.32864532295231
5.3,114.0,111.22268155914743
5.2,161.0,132.5959411837364
6.6,138.0,133.34172942197046
5.4,135.0,121.67542043681667
3.5,233.0,153.5007317731014
4.8,141.0,117.7378149649693
7.0,175.0,156.74866115384202
8.3,168.0,166.85105847421204
6.4,141.0,135.36699266015313
7.8,114.0,137.55675846054373
6.1,65.0,92.23064138964128
6.5,130.0,131.01679248536686
8.0,79.0,119.93223201252736
4.8,112.0,100.282775227753
6.9,139.0,137.6613670356946
7.3,137.0,141.23534220312652
6.0,102.0,110.9208595206128
6.3,128.0,127.65200686677396
7.0,64.0,97.91935390254257
8.1,166.0,164.0925110462834
6.9,96.0,115.64464884534392
5.0,118.0,106.12112194652276
4.0,75.0,78.54859286002069
8.5,120.0,146.4705591521304
6.3,127.0,125.19349946441592
6.1,132.0,128.6849125631427
7.3,116.0,130.23696703646982
4.9,61.0,79.63297801829229
6.7,154.0,141.8025221060079
4.8,169.0,135.66897411279135
4.9,155.0,121.18110108723302
7.3,50.0,97.81709475421869
6.1,81.0,102.89023921009398
6.5,90.0,105.93306690775478
4.9,196.0,146.62106147057523
5.4,107.0,107.34556266929408
6.5,37.0,85.14940601087396
7.5,130.0,142.49642584119408
5.7,169.0,140.6922154613241
5.8,166.0,138.23096266692826
5.1,128.0,117.73447084785425
5.7,132.0,125.43577126611258
4.4,149.0,117.57598930369323
4.9,151.0,125.2017769881755
7.3,86.0,116.7637324682534
7.5,158.0,155.1325508828849
5.2,110.0,107.40841595782823
6.8,112.0,126.81339248332274
4.7,52.0,69.52408099123086
4.3,200.0,145.08164790678146
4.4,42.0,65.76094394043
6.7,182.0,157.56572946251023
6.3,103.0,116.8470629969899
6.2,113.0,113.81279361800007
